Date,Open,High,Low,Close,Adj Close,Volume,Prev Close,change
2007-01-02,315.7569,318.4316,314.593,317.2181,282.0426,4643207,,
2007-01-03,318.2335,319.6946,315.8436,318.122,282.8463,6015404,317.2181,0.285
2007-01-04,319.4717,321.9482,316.2523,317.119,281.9545,12204290,318.122,-0.3153
2007-01-05,315.7569,324.9201,315.7569,319.0136,283.6389,12304038,317.119,0.5974
2007-01-08,320.4623,320.4623,313.6767,316.2151,281.1508,8848507,319.0136,-0.8772
2007-01-09,320.6605,320.6605,315.014,316.5742,281.4702,10342096,316.2151,0.1136
2007-01-10,315.7569,319.6946,313.0575,315.2988,280.336,19435168,316.5742,-0.4029
2007-01-11,315.7569,321.9482,313.33,321.0815,285.4775,8997462,315.2988,1.834
2007-01-12,324.1028,333.0926,320.71,331.7305,294.9457,18086185,321.0815,3.3166
2007-01-15,337.9961,339.7792,333.3403,338.0333,300.5497,12991800,331.7305,1.9
2007-01-16,338.541,339.7792,332.8697,333.5755,296.5862,7242038,338.0333,-1.3187
2007-01-17,336.3121,337.3027,333.1298,334.2937,297.2247,6316334,333.5755,0.2153
2007-01-18,335.5692,342.9244,334.0832,338.64,301.0891,14260962,334.2937,1.3001
2007-01-19,353.6478,353.6478,340.3365,342.4415,304.469,26080160,338.64,1.1226
2007-01-22,342.9987,345.4629,339.544,340.2374,302.5093,6329526,342.4415,-0.6436
2007-01-23,339.544,341.9462,336.2254,336.9436,299.5808,4901476,340.2374,-0.9681
2007-01-24,340.3736,340.3736,336.8693,339.1601,301.5515,6795570,336.9436,0.6578
2007-01-25,341.6862,341.6862,337.4389,339.4325,301.7937,10215842,339.1601,0.0803
2007-01-29,339.2839,345.2028,338.1076,342.33,304.3699,6829206,339.4325,0.8536
2007-01-31,343.234,343.9893,336.4607,338.4048,300.8799,10902558,342.33,-1.1466
2007-02-01,338.7886,342.7511,337.8104,341.1661,303.335,3713182,338.4048,0.816
2007-02-02,342.6768,345.1533,338.801,340.5346,302.7736,6589426,341.1661,-0.1851
2007-02-05,341.7604,344.4846,339.7792,343.5807,305.4819,3887939,340.5346,0.8945
2007-02-06,329.3778,348.6947,329.3778,344.0388,305.8892,7092660,343.5807,0.1333
2007-02-07,346.2182,346.664,342.07,345.4505,307.1443,6166087,344.0388,0.4103
2007-02-08,345.9582,347.4565,342.0081,345.9829,307.6178,4046149,345.4505,0.1541
2007-02-09,346.8373,348.3976,339.2839,344.6827,306.4617,6211316,345.9829,-0.3758
2007-02-12,343.494,343.494,335.1234,336.5474,299.2285,5120800,344.6827,-2.3603
2007-02-13,335.8168,342.9987,332.3497,338.2933,300.7808,5829749,336.5474,0.5188
2007-02-14,338.0828,343.4197,332.4116,341.0299,303.2139,5740386,338.2933,0.8089
2007-02-15,342.3796,350.1064,342.3796,348.4347,309.7976,8255495,341.0299,2.1713
2007-02-19,349.19,354.1431,349.19,351.8523,312.8362,6310907,348.4347,0.9808
2007-02-20,353.8954,357.7093,349.252,350.3292,311.4821,13245200,351.8523,-0.4329
2007-02-21,344.4846,352.9048,344.4846,348.3852,309.7536,6167609,350.3292,-0.5549
2007-02-22,350.4283,353.1401,346.7135,349.6977,310.9206,15020385,348.3852,0.3768
2007-02-23,352.6572,357.5359,347.2336,349.9949,311.1849,15148706,349.6977,0.085
2007-02-26,351.6666,354.0935,339.903,348.3356,309.7095,29268293,349.9949,-0.4741
2007-02-27,323.2113,350.4531,323.2113,348.0632,309.4674,12067675,348.3356,-0.0782
2007-02-28,334.3557,341.7604,329.6626,334.95,297.8083,28494838,348.0632,-3.7675
2007-03-01,340.5222,340.5222,326.666,338.7267,301.1662,15959422,334.95,1.1275
2007-03-02,339.5316,339.5316,323.9295,325.9602,289.8153,19168124,338.7267,-3.769
2007-03-05,321.9482,322.1959,309.1198,311.8812,277.2974,21760809,325.9602,-4.3193
2007-03-06,315.5093,323.657,312.8594,321.4158,285.7748,14347183,311.8812,3.0571
2007-03-07,324.6724,329.1302,312.3146,319.1374,283.749,13931876,321.4158,-0.7089
2007-03-08,326.6537,331.8543,319.4717,330.7523,294.076,13510047,319.1374,3.6395
2007-03-09,331.359,334.2813,323.1865,326.4555,290.2557,9736953,330.7523,-1.2991
2007-03-12,329.3531,330.517,323.6818,325.8364,289.7052,8705783,326.4555,-0.1897
2007-03-13,325.8364,329.7988,323.2484,328.573,292.1383,6386178,325.8364,0.8399
2007-03-14,324.1771,324.1771,312.3517,318.3201,283.0224,10849940,328.573,-3.1204
2007-03-15,321.7006,324.4,316.7476,317.8372,282.593,11545399,318.3201,-0.1517
2007-03-16,317.8372,323.3846,316.0046,321.9854,286.2812,10369166,317.8372,1.3051
2007-03-19,322.2207,326.406,321.2301,325.304,289.2318,4768350,321.9854,1.0306
2007-03-20,326.406,330.6161,325.9107,327.6319,291.3016,4735534,325.304,0.7156
2007-03-21,326.9013,332.7954,323.1865,331.8543,297.5297,4841315,327.6319,1.2888
2007-03-22,333.5879,341.7481,333.5879,340.5841,305.3566,9747605,331.8543,2.6306
2007-03-23,340.7698,342.7015,336.8074,340.7822,305.5342,7696736,340.5841,0.0582
2007-03-26,342.5034,342.5034,334.3309,337.9342,302.9808,5950785,340.7822,-0.8357
2007-03-28,336.8074,340.2745,332.4859,334.3309,299.75,8613557,337.9342,-1.0663
2007-03-29,337.798,339.0363,333.3403,336.114,301.3488,10692639,334.3309,0.5333
2007-03-30,336.8074,340.4974,335.1234,339.3582,304.2574,10682415,336.114,0.9652
2007-04-02,335.5692,336.5102,323.2484,325.403,291.7457,13286092,339.3582,-4.1122
2007-04-03,327.0251,333.3403,324.301,332.0401,297.6963,10745415,325.403,2.0397
2007-04-04,333.8356,339.0239,333.7613,337.6123,302.6921,8035662,332.0401,1.6782
2007-04-05,337.5504,337.9961,334.8757,336.5226,301.7151,4899877,337.6123,-0.3228
2007-04-09,338.0457,343.7417,337.3027,342.8253,307.366,4489883,336.5226,1.8729
2007-04-10,344.1132,344.237,339.4325,342.8501,307.3882,5351987,342.8253,0.0072
2007-04-11,343.0359,346.3173,341.0299,343.395,307.8766,6774338,342.8501,0.1589
2007-04-12,342.7511,344.9799,339.8412,343.6179,308.0765,4438138,343.395,0.0649
2007-04-13,340.5841,350.6512,340.5841,349.6729,313.5053,6137927,343.6179,1.7622
2007-04-16,351.196,362.5633,350.9855,361.0154,323.6746,6854168,349.6729,3.2437
2007-04-17,362.8109,368.5069,359.6781,365.4856,327.6823,15424907,361.0154,1.2382
2007-04-18,364.7921,370.4634,364.7921,367.8506,329.8028,9254572,365.4856,0.6471
2007-04-19,362.8728,371.3549,361.7213,369.5842,331.3571,8884444,367.8506,0.4713
2007-04-20,370.2405,382.6231,370.2405,381.744,342.2591,9636094,369.5842,3.2901
2007-04-23,382.1278,386.3379,377.7444,384.9263,345.1123,10099817,381.744,0.8336
2007-04-24,384.852,393.6684,381.6449,392.0215,351.4736,9610328,384.9263,1.8433
2007-04-25,391.7863,396.244,387.0809,395.8477,354.9041,8328391,392.0215,0.976
2007-04-26,398.7205,402.8316,392.2816,395.4639,354.56,25053819,395.8477,-0.097
2007-04-27,399.2158,399.2158,379.4036,381.1867,341.7596,12668432,395.4639,-3.6102
2007-04-30,383.8119,389.3097,371.7264,386.5979,346.611,9632505,381.1867,1.4196
2007-05-03,390.0527,403.6736,390.0527,402.7201,361.0657,14879768,386.5979,4.1703
2007-05-04,403.7355,405.1595,390.5728,392.071,351.518,14880116,402.7201,-2.6443
2007-05-07,397.4823,400.7018,395.2534,397.8537,356.7025,11438208,392.071,1.4749
2007-05-08,398.3491,399.8102,393.7675,394.5476,353.7384,8664140,397.8537,-0.831
2007-05-09,393.7675,396.244,389.6812,395.8106,354.8708,9318646,394.5476,0.3201
2007-05-10,397.9776,398.671,390.0527,391.6377,351.1295,7311587,395.8106,-1.0543
2007-05-11,384.109,396.244,379.2179,393.5446,352.8392,13591483,391.6377,0.4869
2007-05-14,398.7205,402.9306,397.4823,401.259,359.7556,7712552,393.5446,1.9602
2007-05-15,401.3209,402.6582,394.6342,395.8725,354.9263,14006932,401.259,-1.3424
2007-05-16,396.4917,408.1313,395.8973,404.8376,362.9641,11480538,395.8725,2.2646
2007-05-17,407.4131,418.4708,407.4131,417.3564,374.188,11525177,404.8376,3.0923
2007-05-18,417.2449,422.4952,413.6044,420.6254,377.1189,9360991,417.3564,0.7833
2007-05-21,423.4858,438.3449,422.0494,436.1037,390.9963,13079956,420.6254,3.6798
2007-05-22,438.0973,442.0597,430.4572,440.6357,395.0595,15876286,436.1037,1.0392
2007-05-23,440.8214,445.2297,433.3919,434.9149,389.9305,6476175,440.6357,-1.2983
2007-05-24,433.4043,435.8684,425.2317,427.7454,383.5025,11406607,434.9149,-1.6485
2007-05-25,421.3188,430.1724,421.2817,427.9559,383.6912,9768045,427.7454,0.0492
2007-05-28,430.8906,433.3919,425.046,426.9282,382.7698,6218616,427.9559,-0.2402
2007-05-29,426.4576,437.8496,424.1792,435.1007,390.097,9373799,426.9282,1.9143
2007-05-30,433.3919,440.8214,431.4354,434.0977,389.1978,12452428,435.1007,-0.2305
2007-05-31,434.6301,438.7783,432.6489,435.5712,390.5189,7536762,434.0977,0.3394
2007-06-01,439.0384,440.7967,432.7356,433.7014,388.8425,6076877,435.5712,-0.4293
2007-06-04,438.0973,438.0973,430.5562,431.3983,386.7775,5630502,433.7014,-0.531
2007-06-05,430.6677,433.6395,426.4948,432.2527,387.5436,7312153,431.3983,0.1981
2007-06-06,433.6395,435.3731,416.6258,418.8547,375.5314,11014150,432.2527,-3.0996
2007-06-07,414.3226,422.6933,411.1031,413.3692,370.6133,10456950,418.8547,-1.3096
2007-06-08,412.0938,420.4768,407.9084,410.3726,367.9266,13945734,413.3692,-0.7249
2007-06-11,445.7745,445.7745,411.1651,412.6262,369.9471,8703021,410.3726,0.5492
2007-06-12,414.7932,423.9439,411.7718,420.7368,377.2189,12001502,412.6262,1.9656
2007-06-13,420.5883,423.4362,413.5797,414.917,372.001,9047617,420.7368,-1.3833
2007-06-14,417.5421,421.7522,417.2945,420.031,376.5861,8060455,414.917,1.2325
2007-06-15,421.0092,423.4858,413.1215,416.5267,373.4442,8063621,420.031,-0.8343
2007-06-18,420.4644,420.4644,412.7129,413.9759,371.1573,5752479,416.5267,-0.6124
2007-06-19,413.9759,428.5379,413.6044,427.5844,383.3582,8891583,413.9759,3.2873
2007-06-20,427.5844,433.0947,426.4576,429.1694,384.7793,7914694,427.5844,0.3707
2007-06-21,429.6771,432.7727,426.2595,429.5161,385.09,6547517,429.1694,0.0808
2007-06-22,429.6771,429.6771,420.6749,422.2723,378.5955,8300554,429.5161,-1.6865
2007-06-25,422.9905,424.4764,420.2168,423.2753,379.4948,11667311,422.2723,0.2375
2007-06-26,423.2381,425.9623,421.0092,421.8141,378.1848,5822941,423.2753,-0.3452
2007-06-27,420.7616,425.9375,419.189,420.6501,377.1411,6347486,421.8141,-0.2759
2007-06-28,423.2381,424.6745,417.6288,419.028,375.6868,11375168,420.6501,-0.3856
2007-06-29,421.0092,423.7334,418.2851,421.1454,377.5852,10643272,419.028,0.5053
2007-07-02,421.9999,423.9811,415.8209,417.1211,373.9771,11054731,421.1454,-0.9556
2007-07-03,415.0904,424.1916,415.0904,422.8171,379.084,10823791,417.1211,1.3656
2007-07-04,423.7334,428.8474,423.2381,425.5042,381.493,8799959,422.8171,0.6355
2007-07-05,425.467,427.2006,416.18,423.4486,379.6502,7105359,425.5042,-0.4831
2007-07-06,424.4764,428.575,417.2945,423.461,379.6612,6371342,423.4486,0.0029
2007-07-09,421.7274,425.8261,421.2569,423.721,379.8944,6096570,423.461,0.0614
2007-07-10,424.7364,424.7364,419.771,421.6779,378.0626,4549883,423.721,-0.4822
2007-07-11,425.2193,425.6651,417.5793,421.8265,378.1958,4971502,421.6779,0.0352
2007-07-12,422.6438,427.2253,422.6438,425.8013,381.7596,5725441,421.8265,0.9423
2007-07-13,428.3893,443.4713,427.5101,439.1003,393.683,17987692,425.8013,3.1233
2007-07-16,440.8214,443.0503,437.6639,440.0042,394.4933,6085026,439.1003,0.2059
2007-07-17,443.0503,455.3834,440.8462,452.6716,405.8506,14400771,440.0042,2.8789
2007-07-18,454.4424,455.433,446.6537,451.3838,404.696,12406900,452.6716,-0.2845
2007-07-19,451.4705,472.7686,450.0341,468.7567,420.2718,15506134,451.3838,3.8488
2007-07-20,470.2921,474.2545,465.8344,468.5957,420.1275,14580587,468.7567,-0.0343
2007-07-23,465.5867,474.2545,464.3484,472.8181,423.9132,9528217,468.5957,0.9011
2007-07-24,473.5116,478.217,472.521,473.6602,424.6682,9342368,472.8181,0.1781
2007-07-25,469.3015,473.5116,464.3484,471.1837,422.4478,9101341,473.6602,-0.5228
2007-07-26,473.0163,482.5509,472.0257,480.9288,431.185,15302550,471.1837,2.0682
2007-07-27,475.4433,479.4552,459.3954,462.4911,414.6543,26483019,480.9288,-3.8338
2007-07-30,466.825,470.2549,455.6806,457.8476,410.4911,11260330,462.4911,-1.004
2007-07-31,461.8719,470.9855,453.947,468.93,420.4272,9070742,457.8476,2.4206
2007-08-01,461.129,464.1008,443.9171,445.2173,399.1672,16895117,468.93,-5.0568
2007-08-02,454.9377,455.6063,443.7933,445.9107,399.7889,9661368,445.2173,0.1557
2007-08-03,448.4987,455.3339,444.7839,446.0593,399.9222,12056207,445.9107,0.0333
2007-08-06,441.5644,443.7933,433.7386,440.8586,395.2594,8926402,446.0593,-1.1659
2007-08-07,448.251,450.9752,443.8552,448.3006,401.9315,12496106,440.8586,1.6881
2007-08-08,451.4705,466.8002,450.4304,464.4599,416.4195,13163505,448.3006,3.6046
2007-08-09,467.3203,473.6354,454.5662,457.117,409.8361,14804356,464.4599,-1.581
2007-08-10,450.7275,450.7275,439.8804,448.0157,401.6762,13582612,457.117,-1.991
2007-08-13,451.2229,454.8881,447.6443,453.006,406.1503,6359657,448.0157,1.1138
2007-08-14,445.7745,455.6806,445.7745,453.9594,407.0051,4116441,453.006,0.2105
2007-08-16,443.7933,443.7933,427.2006,430.6801,386.1337,16171445,453.9594,-5.1281
2007-08-17,423.7334,439.3108,416.8487,434.1101,389.2089,24059732,430.6801,0.7964
2007-08-20,445.7745,456.9189,441.0691,445.2792,399.2227,9521014,434.1101,2.5729
2007-08-21,445.7745,448.9197,429.7514,432.6118,387.8656,15499124,445.2792,-2.8448
2007-08-22,432.6489,444.239,424.7983,437.4038,392.162,17379715,432.6118,1.1077
2007-08-23,445.5269,447.7557,429.6771,431.906,387.2327,12346513,437.4038,-1.2569
2007-08-24,434.7664,441.3168,431.4354,439.9175,394.4156,6860512,431.906,1.8549
2007-08-27,450.2322,455.7797,443.7933,454.1452,407.1717,8287035,439.9175,3.2342
2007-08-28,454.1452,468.0632,452.4611,466.2058,417.9849,13009785,454.1452,2.6557
2007-08-29,459.1477,471.4808,456.9189,467.9889,419.5835,10737610,466.2058,0.3825
2007-08-30,470.5398,476.7311,465.8344,473.524,424.546,17039734,467.9889,1.1827
2007-08-31,470.5398,487.8754,470.2549,485.6218,435.3925,14662157,473.524,2.5549
2007-09-03,485.6218,490.1043,480.4459,484.8912,434.7375,8052642,485.6218,-0.1504
2007-09-04,486.3895,489.5718,475.8024,488.5936,438.0571,8199541,484.8912,0.7636
2007-09-05,492.0855,493.8191,483.17,486.5381,436.2141,10075282,488.5936,-0.4207
2007-09-06,481.4365,492.3332,481.1888,491.0578,440.2663,6183196,486.5381,0.9289
2007-09-07,491.0949,492.8285,484.1606,486.1171,435.8366,7430040,491.0578,-1.0061
2007-09-10,484.1606,494.0667,481.4365,491.7388,440.8769,6294469,486.1171,1.1565
2007-09-11,492.8285,497.4101,491.5902,492.8532,441.8761,8753765,491.7388,0.2266
2007-09-12,494.3144,500.5057,493.3238,498.5616,446.9941,9721957,492.8532,1.1582
2007-09-13,501.4963,503.9728,498.6855,502.1154,450.1802,7975538,498.5616,0.7128
2007-09-14,503.9728,512.8636,502.3012,503.9109,451.79,10332389,502.1154,0.3576
2007-09-17,502.7346,510.0156,500.5057,502.3136,450.3579,5833819,503.9109,-0.317
2007-09-18,500.2581,511.1548,499.2427,509.6812,456.9635,10152197,502.3136,1.4667
2007-09-19,528.7381,540.5759,515.1048,538.3718,482.6865,13357668,509.6812,5.6291
