Date,High,Low,Open,Close,Volume,Adj Close,Prev Close,change
2007-01-02,318.4316,314.593,315.7569,317.2181,4643207.0,282.8917,,
2007-01-03,319.6946,315.8436,318.2335,318.122,6015404.0,283.6978,317.2181,0.285
2007-01-04,321.9482,316.2523,319.4717,317.119,12204290.0,282.8034,318.122,-0.3153
2007-01-05,324.9201,315.7569,315.7569,319.0136,12304038.0,284.4929,317.119,0.5974
2007-01-08,320.4623,313.6767,320.4623,316.2151,8848507.0,281.9972,319.0136,-0.8772
2007-01-09,320.6605,315.014,320.6605,316.5742,10342096.0,282.3175,316.2151,0.1136
2007-01-10,319.6946,313.0575,315.7569,315.2988,19435168.0,281.1801,316.5742,-0.4029
2007-01-11,321.9482,313.33,315.7569,321.0815,8997462.0,286.337,315.2988,1.834
2007-01-12,333.0926,320.71,324.1028,331.7305,18086185.0,295.8338,321.0815,3.3166
2007-01-15,339.7792,333.3403,337.9961,338.0333,12991800.0,301.4545,331.7305,1.9
2007-01-16,339.7792,332.8697,338.541,333.5755,7242038.0,297.4791,338.0333,-1.3187
2007-01-17,337.3027,333.1298,336.3121,334.2937,6316334.0,298.1196,333.5755,0.2153
2007-01-18,342.9244,334.0832,335.5692,338.64,14260962.0,301.9956,334.2937,1.3001
2007-01-19,353.6478,340.3365,353.6478,342.4415,26080160.0,305.3857,338.64,1.1226
2007-01-22,345.4629,339.544,342.9987,340.2374,6329526.0,303.4201,342.4415,-0.6436
2007-01-23,341.9462,336.2254,339.544,336.9436,4901476.0,300.4828,340.2374,-0.9681
2007-01-24,340.3736,336.8693,340.3736,339.1601,6795570.0,302.4594,336.9436,0.6578
2007-01-25,341.6862,337.4389,341.6862,339.4325,10215842.0,302.7023,339.1601,0.0803
2007-01-29,345.2028,338.1076,339.2839,342.33,6829206.0,305.2863,339.4325,0.8536
2007-01-31,343.9893,336.4607,343.234,338.4048,10902558.0,301.7857,342.33,-1.1466
2007-02-01,342.7511,337.8104,338.7886,341.1661,3713182.0,304.2483,338.4048,0.816
2007-02-02,345.1533,338.801,342.6768,340.5346,6589426.0,303.6851,341.1661,-0.1851
2007-02-05,344.4846,339.7792,341.7604,343.5807,3887939.0,306.4016,340.5346,0.8945
2007-02-06,348.6947,329.3778,329.3778,344.0388,7092660.0,306.8102,343.5807,0.1333
2007-02-07,346.664,342.07,346.2182,345.4505,6166087.0,308.0691,344.0388,0.4103
2007-02-08,347.4565,342.0081,345.9582,345.9829,4046149.0,308.544,345.4505,0.1541
2007-02-09,348.3976,339.2839,346.8373,344.6827,6211316.0,307.3844,345.9829,-0.3758
2007-02-12,343.494,335.1234,343.494,336.5474,5120800.0,300.1294,344.6827,-2.3603
2007-02-13,342.9987,332.3497,335.8168,338.2933,5829749.0,301.6864,336.5474,0.5188
2007-02-14,343.4197,332.4116,338.0828,341.0299,5740386.0,304.1268,338.2933,0.8089
2007-02-15,350.1064,342.3796,342.3796,348.4347,8255495.0,310.7304,341.0299,2.1713
2007-02-19,354.1431,349.19,349.19,351.8523,6310907.0,313.7781,348.4347,0.9808
2007-02-20,357.7093,349.252,353.8954,350.3292,13245200.0,312.4199,351.8523,-0.4329
2007-02-21,352.9048,344.4846,344.4846,348.3852,6167609.0,310.6862,350.3292,-0.5549
2007-02-22,353.1401,346.7135,350.4283,349.6977,15020385.0,311.8567,348.3852,0.3768
2007-02-23,357.5359,347.2336,352.6572,349.9949,15148706.0,312.1217,349.6977,0.085
2007-02-26,354.0935,339.903,351.6666,348.3356,29268293.0,310.642,349.9949,-0.4741
2007-02-27,350.4531,323.2113,323.2113,348.0632,12067675.0,310.3991,348.3356,-0.0782
2007-02-28,341.7604,329.6626,334.3557,334.95,28494838.0,298.7049,348.0632,-3.7675
2007-03-01,340.5222,326.666,340.5222,338.7267,15959422.0,302.0729,334.95,1.1275
2007-03-02,339.5316,323.9295,339.5316,325.9602,19168124.0,290.6879,338.7267,-3.769
2007-03-05,322.1959,309.1198,321.9482,311.8812,21760809.0,278.1324,325.9602,-4.3193
2007-03-06,323.657,312.8594,315.5093,321.4158,14347183.0,286.6352,311.8812,3.0571
2007-03-07,329.1302,312.3146,324.6724,319.1374,13931876.0,284.6034,321.4158,-0.7089
2007-03-08,331.8543,319.4717,326.6537,330.7523,13510047.0,294.9614,319.1374,3.6395
2007-03-09,334.2813,323.1865,331.359,326.4555,9736953.0,291.1295,330.7523,-1.2991
2007-03-12,330.517,323.6818,329.3531,325.8364,8705783.0,290.5775,326.4555,-0.1897
2007-03-13,329.7988,323.2484,325.8364,328.573,6386178.0,293.0179,325.8364,0.8399
2007-03-14,324.1771,312.3517,324.1771,318.3201,10849940.0,283.8745,328.573,-3.1204
2007-03-15,324.4,316.7476,321.7006,317.8372,11545399.0,283.4439,318.3201,-0.1517
2007-03-16,323.3846,316.0046,317.8372,321.9854,10369166.0,287.1432,317.8372,1.3051
2007-03-19,326.406,321.2301,322.2207,325.304,4768350.0,290.1026,321.9854,1.0306
2007-03-20,330.6161,325.9107,326.406,327.6319,4735534.0,292.1786,325.304,0.7156
2007-03-21,332.7954,323.1865,326.9013,331.8543,4841315.0,298.4255,327.6319,1.2888
2007-03-22,341.7481,333.5879,333.5879,340.5841,9747605.0,306.2758,331.8543,2.6306
2007-03-23,342.7015,336.8074,340.7698,340.7822,7696736.0,306.4541,340.5841,0.0582
2007-03-26,342.5034,334.3309,342.5034,337.9342,5950785.0,303.893,340.7822,-0.8357
2007-03-28,340.2745,332.4859,336.8074,334.3309,8613557.0,300.6526,337.9342,-1.0663
2007-03-29,339.0363,333.3403,337.798,336.114,10692639.0,302.2561,334.3309,0.5333
2007-03-30,340.4974,335.1234,336.8074,339.3582,10682415.0,305.1735,336.114,0.9652
2007-04-02,336.5102,323.2484,335.5692,325.403,13286092.0,292.6241,339.3582,-4.1122
2007-04-03,333.3403,324.301,327.0251,332.0401,10745415.0,298.5926,325.403,2.0397
2007-04-04,339.0239,333.7613,333.8356,337.6123,8035662.0,303.6035,332.0401,1.6782
2007-04-05,337.9961,334.8757,337.5504,336.5226,4899877.0,302.6235,337.6123,-0.3228
