Symbol,Name,Change,Volume
TSLA,"Tesla, Inc.",-0.25%,123.858M
AMC,"AMC Entertainment Holdings, Inc.",+20.99%,100.942M
AI,"C3.ai, Inc.",+8.30%,60.067M
GOOGL,Alphabet Inc.,+3.78%,48.711M
AMD,"Advanced Micro Devices, Inc.",-0.10%,47.778M
