Symbol,Name,Change,Volume
CHWRF,China Tower Corporation Limited,+33.57%,9.491M
AMC,"AMC Entertainment Holdings, Inc.",+20.99%,100.942M
LYSFF,Lerøy Seafood Group ASA,+18.18%,16031
HCM,HUTCHMED (China) Limited,+14.01%,337440
BGNE,"BeiGene, Ltd.",+12.48%,617686
